SNP	Chromosome	GeneticDistance	Position	Phenotype	Pvalue	Qvalue	N	NumSNPsExcluded	IndexExclusionStart	DOF	NullLogLike	AltLogLike	SNPWeight	SNPWeightSE	OddsRatio	WaldStat	NullLogDelta	NullGeneticVar	NullResidualVar	NullBias	NullCov01Weight	NullCov02Weight	NullCov03Weight	NullCov04Weight	NullCov05Weight	NullCov06Weight	LogDelta	GeneticVar	ResidualVar	Bias	Cov01Weight	Cov02Weight	Cov03Weight	Cov04Weight	Cov05Weight	Cov06Weight	SNPIndex	SNPCount
cg26073856	4	120243555.000000	120243555	Phenotype_001	1.208E-003	2.352E-001	204	0	22	1	1.777E+002	1.791E+002	2.933E-002	8.928E-003	1.087E+000	1.079E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.281E-001	1.295E-002	5.121E-003	8.186E-001	-9.625E-004	1.264E-002	1.285E-001	1.076E-001	5.039E-002	-2.173E-002	1802	7848
cg01941619	18	29770081.000000	29770081	Phenotype_001	1.262E-003	2.352E-001	204	0	81	1	1.777E+002	1.789E+002	2.622E-002	8.014E-003	1.069E+000	1.071E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-8.870E-001	1.256E-002	5.174E-003	8.186E-001	-9.273E-004	1.537E-002	1.323E-001	1.116E-001	4.799E-002	-2.999E-002	5994	7848
cg06906435	14	99177777.000000	99177777	Phenotype_001	1.287E-003	2.352E-001	204	0	70	1	1.777E+002	1.791E+002	3.041E-002	9.312E-003	1.063E+000	1.067E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.105E+000	1.484E-002	4.913E-003	8.186E-001	-1.070E-003	7.874E-003	1.133E-001	1.003E-001	4.903E-002	-1.957E-002	5023	7848
cg23696618	18	61583699.000000	61583699	Phenotype_001	1.299E-003	2.352E-001	204	0	82	1	1.777E+002	1.792E+002	3.272E-002	1.003E-002	1.065E+000	1.065E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.077E+000	1.452E-002	4.946E-003	8.186E-001	-1.067E-003	2.683E-003	1.254E-001	1.118E-001	4.843E-002	-1.980E-002	6057	7848
cg26252167	6	110300573.000000	110300573	Phenotype_001	1.318E-003	2.352E-001	204	0	36	1	1.777E+002	1.795E+002	-4.450E-002	1.366E-002	1.157E+000	1.062E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.041E+000	1.413E-002	4.989E-003	8.186E-001	-8.589E-004	6.375E-003	1.222E-001	1.131E-001	5.161E-002	-1.618E-002	2482	7848
cg02676865	10	99259738.000000	99259738	Phenotype_001	1.346E-003	2.352E-001	204	0	54	1	1.777E+002	1.790E+002	2.721E-002	8.365E-003	1.063E+000	1.058E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.025E+000	1.396E-002	5.010E-003	8.186E-001	-1.167E-003	7.626E-003	1.358E-001	1.197E-001	5.156E-002	-1.122E-002	3634	7848
cg11373429	19	10400751.000000	10400751	Phenotype_001	1.348E-003	2.352E-001	204	0	83	1	1.777E+002	1.791E+002	3.028E-002	9.309E-003	1.051E+000	1.058E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.107E+000	1.486E-002	4.913E-003	8.186E-001	-8.784E-004	7.285E-003	1.364E-001	1.124E-001	4.821E-002	1.976E-002	6206	7848
cg08535373	20	37352612.000000	37352612	Phenotype_001	1.401E-003	2.377E-001	204	0	93	1	1.777E+002	1.793E+002	3.859E-002	1.191E-002	1.092E+000	1.050E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.080E+000	1.457E-002	4.946E-003	8.186E-001	-1.031E-003	6.873E-003	1.275E-001	1.051E-001	4.753E-002	-1.832E-002	6779	7848
cg00448720	13	24883014.000000	24883014	Phenotype_001	1.495E-003	2.377E-001	204	0	63	1	1.777E+002	1.790E+002	3.025E-002	9.392E-003	1.087E+000	1.038E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.484E-001	1.318E-002	5.106E-003	8.186E-001	-1.315E-003	1.274E-003	1.327E-001	1.124E-001	5.355E-002	-2.015E-002	4707	7848
cg03600318	10	81708991.000000	81708991	Phenotype_001	1.498E-003	2.377E-001	204	0	54	1	1.777E+002	1.789E+002	2.833E-002	8.797E-003	1.085E+000	1.037E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.072E+000	1.448E-002	4.959E-003	8.186E-001	-1.082E-003	1.012E-002	1.304E-001	1.173E-001	5.107E-002	-2.494E-002	3597	7848
cg21880903	4	39408665.000000	39408665	Phenotype_001	1.522E-003	2.377E-001	204	0	20	1	1.777E+002	1.791E+002	3.556E-002	1.106E-002	1.108E+000	1.034E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.884E-001	1.359E-002	5.059E-003	8.186E-001	-9.399E-004	8.678E-003	1.288E-001	1.096E-001	4.837E-002	-1.974E-002	1675	7848
cg01500097	6	110011156.000000	110011156	Phenotype_001	1.522E-003	2.377E-001	204	0	36	1	1.777E+002	1.788E+002	2.591E-002	8.057E-003	1.084E+000	1.034E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.006E+000	1.378E-002	5.037E-003	8.186E-001	-9.609E-004	9.671E-003	1.373E-001	1.162E-001	4.715E-002	-2.147E-002	2480	7848
cg12537796	23	106515818.000000	106515818	Phenotype_001	1.545E-003	2.377E-001	204	0	100	1	1.777E+002	1.790E+002	-3.064E-002	9.541E-003	1.075E+000	1.031E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.055E+000	1.430E-002	4.980E-003	8.186E-001	-8.276E-004	-2.035E-003	1.225E-001	1.042E-001	4.809E-002	-2.588E-002	7591	7848
cg08046471	4	76958126.000000	76958126	Phenotype_001	1.627E-003	2.440E-001	204	0	21	1	1.777E+002	1.787E+002	-2.502E-002	7.831E-003	1.051E+000	1.021E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.143E+000	1.530E-002	4.880E-003	8.186E-001	-8.295E-004	5.409E-003	1.297E-001	1.095E-001	4.484E-002	-1.161E-002	1742	7848
cg14456683	3	147127010.000000	147127010	Phenotype_001	1.663E-003	2.440E-001	204	0	15	1	1.777E+002	1.790E+002	-3.500E-002	1.097E-002	1.103E+000	1.017E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.075E-001	1.279E-002	5.162E-003	8.186E-001	-1.037E-003	1.227E-002	1.308E-001	1.100E-001	4.539E-002	-2.319E-002	1490	7848
cg22029275	13	25745784.000000	25745784	Phenotype_001	1.721E-003	2.440E-001	204	1	63	1	1.768E+002	1.788E+002	7.206E-002	2.267E-002	1.152E+000	1.010E+001	-1.022E+000	1.476E-002	5.312E-003	8.186E-001	6.453E-003	1.314E-001	1.125E-001	5.111E-002	-2.067E-002	8.186E-001	-9.024E-001	1.287E-002	5.221E-003	8.186E-001	-1.066E-003	5.242E-003	1.176E-001	1.029E-001	5.496E-002	-1.836E-002	4710	7848
cg09229912	12	111471963.000000	111471963	Phenotype_001	1.750E-003	2.440E-001	204	0	62	1	1.777E+002	1.794E+002	-4.904E-002	1.545E-002	1.135E+000	1.007E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.066E+000	1.444E-002	4.973E-003	8.186E-001	-7.091E-004	9.064E-003	1.269E-001	1.032E-001	5.332E-002	-1.763E-002	4644	7848
