SNP	Chromosome	GeneticDistance	Position	Pvalue	Qvalue	N	NullLogLike	AltLogLike	SnpWeight	SnpWeightSE	OddsRatio	WaldStat	NullBias	NullCov00Weight	NullCov01Weight	NullCov02Weight	NullCov03Weight	NullCov04Weight	NullVar
cg19751300	18	44336399.000000	44336399	5.218E-034	1.412E-031	204	1.243E+001	8.727E+001	2.168E-001	1.459E-002	1.533E+000	2.209E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg00662556	18	74963364.000000	74963364	7.661E-034	2.004E-031	204	1.243E+001	8.688E+001	2.223E-001	1.501E-002	1.792E+000	2.193E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg05396987	4	122686269.000000	122686269	9.861E-034	2.497E-031	204	1.243E+001	8.663E+001	2.140E-001	1.448E-002	1.579E+000	2.182E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg06151165	20	25062254.000000	25062254	1.675E-033	4.089E-031	204	1.243E+001	8.609E+001	2.205E-001	1.500E-002	1.480E+000	2.160E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg17560332	2	198651303.000000	198651303	1.720E-033	4.089E-031	204	1.243E+001	8.606E+001	2.235E-001	1.521E-002	1.551E+000	2.159E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg16638540	19	58570468.000000	58570468	2.074E-033	4.786E-031	204	1.243E+001	8.587E+001	2.258E-001	1.539E-002	1.736E+000	2.151E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg01805282	6	133563764.000000	133563764	2.531E-033	5.676E-031	204	1.243E+001	8.567E+001	2.163E-001	1.477E-002	1.484E+000	2.143E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg06856528	2	193059405.000000	193059405	3.012E-033	6.565E-031	204	1.243E+001	8.550E+001	2.157E-001	1.476E-002	1.455E+000	2.136E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg24562819	20	23029806.000000	23029806	5.306E-033	1.125E-030	204	1.243E+001	8.492E+001	2.142E-001	1.474E-002	1.435E+000	2.112E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg04534765	18	74962369.000000	74962369	5.484E-033	1.133E-030	204	1.243E+001	8.489E+001	2.183E-001	1.503E-002	1.490E+000	2.111E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg00503840	7	96650509.000000	96650509	1.760E-032	3.541E-030	204	1.243E+001	8.371E+001	2.222E-001	1.547E-002	1.725E+000	2.063E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg23686014	7	93519924.000000	93519924	2.651E-032	5.202E-030	204	1.243E+001	8.329E+001	2.086E-001	1.458E-002	1.521E+000	2.047E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg15045441	6	72130432.000000	72130432	2.875E-032	5.503E-030	204	1.243E+001	8.321E+001	2.177E-001	1.523E-002	1.486E+000	2.043E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg14893163	13	58206036.000000	58206036	3.670E-032	6.858E-030	204	1.243E+001	8.296E+001	2.252E-001	1.579E-002	1.561E+000	2.033E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg20113732	11	20691180.000000	20691180	4.331E-032	7.905E-030	204	1.243E+001	8.279E+001	2.061E-001	1.448E-002	1.490E+000	2.027E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg09748975	4	4864532.000000	4864532	9.026E-032	1.610E-029	204	1.243E+001	8.205E+001	2.234E-001	1.581E-002	1.746E+000	1.997E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg27223047	5	127874825.000000	127874825	1.410E-031	2.459E-029	204	1.243E+001	8.160E+001	2.054E-001	1.460E-002	1.525E+000	1.979E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg03064067	12	85306916.000000	85306916	2.331E-031	3.977E-029	204	1.243E+001	8.109E+001	2.090E-001	1.493E-002	1.490E+000	1.959E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18335068	19	53757910.000000	53757910	2.659E-031	4.441E-029	204	1.243E+001	8.096E+001	2.147E-001	1.536E-002	1.548E+000	1.954E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg15361590	5	140864701.000000	140864701	3.579E-031	5.851E-029	204	1.243E+001	8.066E+001	2.208E-001	1.584E-002	1.524E+000	1.942E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg05839235	5	32712237.000000	32712237	3.729E-031	5.973E-029	204	1.243E+001	8.061E+001	2.209E-001	1.586E-002	1.611E+000	1.941E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg20404387	1	20879296.000000	20879296	5.559E-031	8.725E-029	204	1.243E+001	8.021E+001	2.037E-001	1.468E-002	1.453E+000	1.925E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg01580681	4	174450016.000000	174450016	9.093E-031	1.399E-028	204	1.243E+001	7.971E+001	2.159E-001	1.564E-002	1.646E+000	1.906E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg07758904	9	115652824.000000	115652824	3.025E-030	4.565E-028	204	1.243E+001	7.850E+001	2.144E-001	1.573E-002	1.557E+000	1.859E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18671950	15	48936953.000000	48936953	3.382E-030	5.009E-028	204	1.243E+001	7.838E+001	2.027E-001	1.488E-002	1.440E+000	1.855E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg19884262	10	129535968.000000	129535968	4.507E-030	6.550E-028	204	1.243E+001	7.809E+001	2.120E-001	1.561E-002	1.596E+000	1.844E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg14377593	7	93520183.000000	93520183	1.020E-029	1.456E-027	204	1.243E+001	7.727E+001	2.002E-001	1.487E-002	1.477E+000	1.812E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg08190291	21	28339442.000000	28339442	1.697E-029	2.379E-027	204	1.243E+001	7.675E+001	2.025E-001	1.512E-002	1.397E+000	1.793E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg03538436	12	117799370.000000	117799370	1.922E-029	2.646E-027	204	1.243E+001	7.663E+001	1.970E-001	1.473E-002	1.419E+000	1.788E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18952647	15	83953744.000000	83953744	2.060E-029	2.788E-027	204	1.243E+001	7.656E+001	2.089E-001	1.564E-002	1.587E+000	1.785E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg10398682	15	83952019.000000	83952019	3.358E-029	4.466E-027	204	1.243E+001	7.606E+001	2.079E-001	1.564E-002	1.636E+000	1.767E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg05445326	3	196065569.000000	196065569	3.934E-029	5.146E-027	204	1.243E+001	7.590E+001	-2.130E-001	1.605E-002	1.483E+000	1.761E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg22799321	7	93519621.000000	93519621	5.613E-029	7.222E-027	204	1.243E+001	7.554E+001	2.030E-001	1.535E-002	1.442E+000	1.748E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg16792800	13	93879361.000000	93879361	6.408E-029	8.112E-027	204	1.243E+001	7.541E+001	2.020E-001	1.530E-002	1.417E+000	1.743E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg05158615	7	24323559.000000	24323559	7.639E-029	9.516E-027	204	1.243E+001	7.523E+001	2.101E-001	1.595E-002	1.693E+000	1.736E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg17892556	19	12267464.000000	12267464	8.308E-029	1.019E-026	204	1.243E+001	7.515E+001	1.966E-001	1.493E-002	1.342E+000	1.733E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg03975694	19	38042472.000000	38042472	8.758E-029	1.057E-026	204	1.243E+001	7.509E+001	2.076E-001	1.578E-002	1.686E+000	1.731E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18755783	13	36919905.000000	36919905	1.412E-028	1.658E-026	204	1.243E+001	7.461E+001	1.979E-001	1.512E-002	1.471E+000	1.713E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg13929328	10	129535898.000000	129535898	1.415E-028	1.658E-026	204	1.243E+001	7.461E+001	2.121E-001	1.620E-002	1.799E+000	1.713E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg22879515	11	111383515.000000	111383515	1.507E-028	1.740E-026	204	1.243E+001	7.454E+001	2.063E-001	1.578E-002	1.401E+000	1.711E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg19064258	16	22826117.000000	22826117	1.530E-028	1.741E-026	204	1.243E+001	7.453E+001	2.018E-001	1.543E-002	1.397E+000	1.710E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg26069745	7	27142200.000000	27142200	1.622E-028	1.818E-026	204	1.243E+001	7.447E+001	2.166E-001	1.657E-002	1.547E+000	1.708E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg06498267	5	45695922.000000	45695922	1.717E-028	1.892E-026	204	1.243E+001	7.441E+001	1.997E-001	1.529E-002	1.577E+000	1.706E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg02844545	6	10882043.000000	10882043	1.736E-028	1.892E-026	204	1.243E+001	7.440E+001	2.108E-001	1.614E-002	1.691E+000	1.706E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg26309134	19	56879571.000000	56879571	1.781E-028	1.914E-026	204	1.243E+001	7.438E+001	2.021E-001	1.548E-002	1.415E+000	1.705E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg19988449	15	83952808.000000	83952808	1.824E-028	1.934E-026	204	1.243E+001	7.435E+001	2.082E-001	1.595E-002	1.583E+000	1.704E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg26656135	6	133562774.000000	133562774	2.186E-028	2.288E-026	204	1.243E+001	7.417E+001	1.956E-001	1.501E-002	1.439E+000	1.697E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18462653	20	29978176.000000	29978176	3.631E-028	3.749E-026	204	1.243E+001	7.366E+001	-2.057E-001	1.588E-002	1.454E+000	1.678E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg27546237	13	110960452.000000	110960452	6.833E-028	6.886E-026	204	1.243E+001	7.302E+001	1.965E-001	1.528E-002	1.371E+000	1.655E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg26924825	16	67977865.000000	67977865	6.844E-028	6.886E-026	204	1.243E+001	7.302E+001	2.093E-001	1.627E-002	1.465E+000	1.655E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg04551925	7	30951740.000000	30951740	7.761E-028	7.710E-026	204	1.243E+001	7.289E+001	1.976E-001	1.538E-002	1.451E+000	1.650E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg23141855	7	93519892.000000	93519892	7.909E-028	7.735E-026	204	1.243E+001	7.287E+001	2.045E-001	1.592E-002	1.520E+000	1.650E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg17371081	11	20690957.000000	20690957	7.983E-028	7.735E-026	204	1.243E+001	7.286E+001	2.013E-001	1.567E-002	1.536E+000	1.649E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg20881910	11	131780332.000000	131780332	8.208E-028	7.856E-026	204	1.243E+001	7.283E+001	1.948E-001	1.517E-002	1.430E+000	1.648E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18338311	17	32907939.000000	32907939	8.827E-028	8.346E-026	204	1.243E+001	7.276E+001	2.013E-001	1.569E-002	1.480E+000	1.646E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg20073553	4	13545291.000000	13545291	1.204E-027	1.125E-025	204	1.243E+001	7.245E+001	2.030E-001	1.588E-002	1.516E+000	1.634E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg01777397	2	29337946.000000	29337946	1.547E-027	1.428E-025	204	1.243E+001	7.219E+001	2.151E-001	1.687E-002	1.520E+000	1.625E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg12006284	11	32449638.000000	32449638	2.281E-027	2.082E-025	204	1.243E+001	7.180E+001	2.018E-001	1.590E-002	1.479E+000	1.611E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg22672790	5	161112787.000000	161112787	2.325E-027	2.098E-025	204	1.243E+001	7.178E+001	-2.003E-001	1.578E-002	1.484E+000	1.611E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg19764418	1	237205098.000000	237205098	2.989E-027	2.652E-025	204	1.243E+001	7.153E+001	1.887E-001	1.491E-002	1.495E+000	1.601E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg10300684	14	29236323.000000	29236323	3.008E-027	2.652E-025	204	1.243E+001	7.152E+001	1.907E-001	1.507E-002	1.456E+000	1.601E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg04034767	12	52400907.000000	52400907	4.300E-027	3.750E-025	204	1.243E+001	7.116E+001	2.012E-001	1.597E-002	1.361E+000	1.588E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg17923358	7	103629618.000000	103629618	4.701E-027	4.054E-025	204	1.243E+001	7.107E+001	1.952E-001	1.550E-002	1.453E+000	1.585E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg22836229	8	49647717.000000	49647717	4.995E-027	4.261E-025	204	1.243E+001	7.101E+001	1.977E-001	1.572E-002	1.545E+000	1.583E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg23239039	4	4389115.000000	4389115	5.518E-027	4.656E-025	204	1.243E+001	7.091E+001	1.867E-001	1.485E-002	1.430E+000	1.579E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg25993718	20	54580196.000000	54580196	6.653E-027	5.554E-025	204	1.243E+001	7.072E+001	2.005E-001	1.599E-002	1.626E+000	1.573E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg08185661	11	7273498.000000	7273498	6.866E-027	5.672E-025	204	1.243E+001	7.069E+001	1.921E-001	1.532E-002	1.383E+000	1.572E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18089852	5	76507050.000000	76507050	7.794E-027	6.371E-025	204	1.243E+001	7.056E+001	2.018E-001	1.612E-002	1.423E+000	1.567E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg22674717	16	51185394.000000	51185394	8.181E-027	6.619E-025	204	1.243E+001	7.051E+001	1.928E-001	1.541E-002	1.426E+000	1.565E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg21688264	6	84418724.000000	84418724	9.781E-027	7.833E-025	204	1.243E+001	7.033E+001	1.925E-001	1.542E-002	1.374E+000	1.559E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg14197923	4	81187906.000000	81187906	9.918E-027	7.862E-025	204	1.243E+001	7.032E+001	1.824E-001	1.461E-002	1.344E+000	1.558E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg09626984	8	11566096.000000	11566096	1.089E-026	8.547E-025	204	1.243E+001	7.022E+001	1.899E-001	1.523E-002	1.656E+000	1.555E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg17619823	8	37823475.000000	37823475	1.446E-026	1.123E-024	204	1.243E+001	6.994E+001	1.951E-001	1.569E-002	1.425E+000	1.545E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg12300353	4	44450358.000000	44450358	1.923E-026	1.480E-024	204	1.243E+001	6.965E+001	1.970E-001	1.590E-002	1.446E+000	1.535E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg01839464	18	49868477.000000	49868477	2.305E-026	1.746E-024	204	1.243E+001	6.947E+001	1.912E-001	1.546E-002	1.453E+000	1.529E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg04784672	14	42077674.000000	42077674	2.314E-026	1.746E-024	204	1.243E+001	6.946E+001	1.882E-001	1.522E-002	1.510E+000	1.528E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18722841	11	71954982.000000	71954982	2.481E-026	1.855E-024	204	1.243E+001	6.939E+001	1.997E-001	1.617E-002	1.615E+000	1.526E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg15717808	6	73331652.000000	73331652	2.534E-026	1.876E-024	204	1.243E+001	6.937E+001	1.920E-001	1.554E-002	1.428E+000	1.525E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg11812218	3	172166920.000000	172166920	2.886E-026	2.117E-024	204	1.243E+001	6.924E+001	1.902E-001	1.542E-002	1.498E+000	1.521E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg13641903	11	32452608.000000	32452608	3.043E-026	2.211E-024	204	1.243E+001	6.919E+001	2.023E-001	1.641E-002	1.734E+000	1.519E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
